Spanish,English,,,,,,,,,,,,,,,
realmente,really,,,,,,,,,,,,,,,
estas ,are ,,,,,,,,,,,,,,,
aún ,still ,,,,,,,,,,,,,,,
mío ,mine ,,,,,,,,,,,,,,,
toda ,all ,,,,,,,,,,,,,,,
hacerlo,do it,,,,,,,,,,,,,,,
cada ,each ,,,,,,,,,,,,,,,
visto ,seen ,,,,,,,,,,,,,,,
importa ,matters,,,,,,,,,,,,,,,
contigo ,with you ,,,,,,,,,,,,,,,
tienen ,have ,,,,,,,,,,,,,,,
hemos ,we have ,,,,,,,,,,,,,,, 
razón ,reason ,,,,,,,,,,,,,,,
alguna ,some ,,,,,,,,,,,,,,,
tanto ,so much ,,,,,,,,,,,,,,,
saber ,know ,,,,,,,,,,,,,,,
hizo ,did ,,,,,,,,,,,,,,,
veces ,times ,,,,,,,,,,,,,,,
serio ,Serious ,,,,,,,,,,,,,,,
ven ,come,,,,,,,,,,,,,,,
idea ,idea ,,,,,,,,,,,,,,,
eh ,eh,,,,,,,,,,,,,,,
tarde ,late ,,,,,,,,,,,,,,,
problema ,problem ,,,,,,,,,,,,,,,
hora ,hour ,,,,,,,,,,,,,,,
cierto ,TRUE ,,,,,,,,,,,,,,,
dicho ,saying ,,,,,,,,,,,,,,,
quien ,who ,,,,,,,,,,,,,,,
demasiado ,too much ,,,,,,,,,,,,,,,
amor ,love,,,,,,,,,,,,,,,
entre ,between ,,,,,,,,,,,,,,,
ve ,go,,,,,,,,,,,,,,,
pasado ,past ,,,,,,,,,,,,,,,
familia ,family ,,,,,,,,,,,,,,,
estos ,these ,,,,,,,,,,,,,,,
policía ,police ,,,,,,,,,,,,,,,
debería ,ought ,,,,,,,,,,,,,,,
ustedes ,you ,,,,,,,,,,,,,,,
chica ,girl ,,,,,,,,,,,,,,,
esos ,those ,,,,,,,,,,,,,,,
chicos ,guys ,,,,,,,,,,,,,,,
cuenta ,account ,,,,,,,,,,,,,,,
haces ,you do ,,,,,,,,,,,,,,,
todavía ,still ,,,,,,,,,,,,,,,
salir ,go out ,,,,,,,,,,,,,,,
algún ,some,,,,,,,,,,,,,,,
vaya,Oh,,,,,,,,,,,,,,,
unos ,some ,,,,,,,,,,,,,,,
veo ,I see ,,,,,,,,,,,,,,,
amigos ,friends ,,,,,,,,,,,,,,,
hermano ,brother ,,,,,,,,,,,,,,,
pensé ,I thought,,,,,,,,,,,,,,,
sabía ,knew ,,,,,,,,,,,,,,,
cabeza ,head ,,,,,,,,,,,,,,,
ah ,ah,,,,,,,,,,,,,,,
cariño ,dear ,,,,,,,,,,,,,,,
digo ,say ,,,,,,,,,,,,,,,
van ,go,,,,,,,,,,,,,,,
hombres ,men ,,,,,,,,,,,,,,,
buenas ,hello good ,,,,,,,,,,,,,,,
somos ,are ,,,,,,,,,,,,,,,
cualquier ,any ,,,,,,,,,,,,,,,
forma ,shape ,,,,,,,,,,,,,,,
mientras ,while ,,,,,,,,,,,,,,,
lado ,side ,,,,,,,,,,,,,,,
debo ,I must ,,,,,,,,,,,,,,,
sería ,I would be ,,,,,,,,,,,,,,,
caso ,case ,,,,,,,,,,,,,,,
pueden ,they can ,,,,,,,,,,,,,,,
pasó ,passed ,,,,,,,,,,,,,,,
primera ,first ,,,,,,,,,,,,,,,
genial ,brilliant ,,,,,,,,,,,,,,,
chico ,boy ,,,,,,,,,,,,,,,
supuesto ,supposed ,,,,,,,,,,,,,,,
hice ,I did ,,,,,,,,,,,,,,,
pues ,well ,,,,,,,,,,,,,,,
adiós ,bye ,,,,,,,,,,,,,,,
muchas ,many ,,,,,,,,,,,,,,,
personas ,people ,,,,,,,,,,,,,,,
señora ,lady ,,,,,,,,,,,,,,,
volver ,return ,,,,,,,,,,,,,,,
esas ,those ,,,,,,,,,,,,,,,
quizá ,perhaps,,,,,,,,,,,,,,,
contra ,against ,,,,,,,,,,,,,,,
camino ,path ,,,,,,,,,,,,,,,
durante ,during ,,,,,,,,,,,,,,,
hablando ,talking ,,,,,,,,,,,,,,,
manera ,manner ,,,,,,,,,,,,,,,
muerto ,dead ,,,,,,,,,,,,,,,
persona ,person ,,,,,,,,,,,,,,,
rápido ,fast ,,,,,,,,,,,,,,,
cuál ,which ,,,,,,,,,,,,,,,
ayuda ,aid ,,,,,,,,,,,,,,,
historia ,history ,,,,,,,,,,,,,,,
iba ,I was going,,,,,,,,,,,,,,,
supongo ,i guess ,,,,,,,,,,,,,,,
nueva ,new ,,,,,,,,,,,,,,,
entiendo ,I understand ,,,,,,,,,,,,,,,
dentro ,inside ,,,,,,,,,,,,,,,
casi ,almost ,,,,,,,,,,,,,,,
puerta ,door ,,,,,,,,,,,,,,,
ves ,you see,,,,,,,,,,,,,,,
pasar ,pass ,,,,,,,,,,,,,,,
primero ,first ,,,,,,,,,,,,,,,
significa ,means ,,,,,,,,,,,,,,,
semana ,week ,,,,,,,,,,,,,,,
hacia ,toward ,,,,,,,,,,,,,,,
quizás ,maybe ,,,,,,,,,,,,,,,
espero ,wait ,,,,,,,,,,,,,,,
juntos ,together ,,,,,,,,,,,,,,,
año ,year ,,,,,,,,,,,,,,,
