,Spanish,English
0,realmente,really
1,estas ,are 
2,mío ,mine 
3,hacerlo,do it
4,cada ,each 
5,visto ,seen 
6,importa ,matters
7,contigo ,with you 
8,tienen ,have 
9,hemos ,we have 
10,razón ,reason 
11,alguna ,some 
12,tanto ,so much 
13,saber ,know 
14,hizo ,did 
15,veces ,times 
16,ven ,come
17,eh ,eh
18,hora ,hour 
19,cierto ,TRUE 
20,dicho ,saying 
21,demasiado ,too much 
22,amor ,love
23,entre ,between 
24,ve ,go
25,pasado ,past 
26,estos ,these 
27,policía ,police 
28,debería ,ought 
29,ustedes ,you 
30,chica ,girl 
31,chicos ,guys 
32,cuenta ,account 
33,haces ,you do 
34,todavía ,still 
35,salir ,go out 
36,algún ,some
37,vaya,Oh
38,unos ,some 
39,veo ,I see 
40,amigos ,friends 
41,hermano ,brother 
42,pensé ,I thought
43,sabía ,knew 
44,cabeza ,head 
45,ah ,ah
46,cariño ,dear 
47,van ,go
48,hombres ,men 
49,buenas ,hello good 
50,somos ,are 
51,cualquier ,any 
52,forma ,shape 
53,mientras ,while 
54,lado ,side 
55,debo ,I must 
56,sería ,I would be 
57,caso ,case 
58,pueden ,they can 
59,pasó ,passed 
60,primera ,first 
61,genial ,brilliant 
62,chico ,boy 
63,supuesto ,supposed 
64,hice ,I did 
65,pues ,well 
66,adiós ,bye 
67,muchas ,many 
68,personas ,people 
69,señora ,lady 
70,quizá ,perhaps
71,contra ,against 
72,durante ,during 
73,hablando ,talking 
74,muerto ,dead 
75,persona ,person 
76,rápido ,fast 
77,cuál ,which 
78,ayuda ,aid 
79,historia ,history 
80,iba ,I was going
81,supongo ,i guess 
82,entiendo ,I understand 
83,dentro ,inside 
84,casi ,almost 
85,ves ,you see
86,pasar ,pass 
87,primero ,first 
88,significa ,means 
89,semana ,week 
90,hacia ,toward 
91,quizás ,maybe 
92,espero ,wait 
93,año ,year 
